pais_id,pais,año,mes,ccp_origen,producto_origen,ccp_destino,producto_destino,uni_med_id,uni_med,cantidad_por_millon
32,Argentina,2008,1,2211,Leche cruda,2211,Leche informal,l,Litros,66.57
32,Argentina,2008,1,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,72.66
32,Argentina,2008,1,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,31.27
32,Argentina,2008,1,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.99
32,Argentina,2008,1,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,34.11
32,Argentina,2008,1,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,14.84
32,Argentina,2008,1,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,2.12
32,Argentina,2008,1,2211,Leche cruda,22110,Leche chocolatada,l,Litros,9.67
32,Argentina,2008,1,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,114.23
32,Argentina,2008,1,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,24.51
32,Argentina,2008,1,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,81.13
32,Argentina,2008,1,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,161.52
32,Argentina,2008,1,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,116.38
32,Argentina,2008,1,2211,Leche cruda,22241,Manteca,l,Litros,87.48
32,Argentina,2008,1,2211,Leche cruda,22222,Dulce de leche,l,Litros,14.4
32,Argentina,2008,1,2211,Leche cruda,22222,Leche condensada,l,Litros,0.68
32,Argentina,2008,1,2211,Leche cruda,22230,Yogur ,l,Litros,45.22
32,Argentina,2008,1,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.41
32,Argentina,2008,2,2211,Leche cruda,2211,Leche informal,l,Litros,59.24
32,Argentina,2008,2,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,73.01
32,Argentina,2008,2,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,31.21
32,Argentina,2008,2,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,1.03
32,Argentina,2008,2,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,23.44
32,Argentina,2008,2,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,9.31
32,Argentina,2008,2,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.26
32,Argentina,2008,2,2211,Leche cruda,22110,Leche chocolatada,l,Litros,8.17
32,Argentina,2008,2,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,94.12
32,Argentina,2008,2,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,18.2
32,Argentina,2008,2,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,72.81
32,Argentina,2008,2,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,119.03
32,Argentina,2008,2,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,121.56
32,Argentina,2008,2,2211,Leche cruda,22241,Manteca,l,Litros,76.33
32,Argentina,2008,2,2211,Leche cruda,22222,Dulce de leche,l,Litros,17.11
32,Argentina,2008,2,2211,Leche cruda,22222,Leche condensada,l,Litros,1.33
32,Argentina,2008,2,2211,Leche cruda,22230,Yogur ,l,Litros,38.91
32,Argentina,2008,2,2211,Leche cruda,22290,Postres lacteos y flanes,l,Litros,3.58
32,Argentina,2008,3,2211,Leche cruda,2211,Leche informal,l,Litros,58.49
32,Argentina,2008,3,2211,Leche cruda,22110,Leche pasteurizada entera,l,Litros,71.23
32,Argentina,2008,3,2211,Leche cruda,22110,Leche pasteurizada semidescremada,l,Litros,29.18
32,Argentina,2008,3,2211,Leche cruda,22110,Leche pasteurizada descremada,l,Litros,0.86
32,Argentina,2008,3,2211,Leche cruda,22110,Leche esterilizada entera,l,Litros,21.64
32,Argentina,2008,3,2211,Leche cruda,22110,Leche esterilizada semidescremada,l,Litros,10.89
32,Argentina,2008,3,2211,Leche cruda,22110,Leche esterilizada descremada,l,Litros,1.2
32,Argentina,2008,3,2211,Leche cruda,22110,Leche chocolatada,l,Litros,7.81
32,Argentina,2008,3,2211,Leche cruda,22211,Leche en polvo entera ,l,Litros,92.53
32,Argentina,2008,3,2211,Leche cruda,22212,Leche en polvo descremada,l,Litros,15.68
32,Argentina,2008,3,2211,Leche cruda,22251,Quesos de baja humedad (pasta dura),l,Litros,77.21
32,Argentina,2008,3,2211,Leche cruda,22251,Quesos de mediana humedad (pasta semidura),l,Litros,129.53
32,Argentina,2008,3,2211,Leche cruda,22251,Quesos de alta humedad (pasta blanda),l,Litros,119.89
32,Argentina,2008,3,2211,Leche cruda,22241,Manteca,l,Litros,56.26
32,Argentina,2008,3,2211,Leche cruda,22222,Dulce de leche,l,Litros,17.51
32,Argentina,2008,3,2211,Leche cruda,22222,Leche condensada,l,Litros,1.22
32,Argentina,2008,3,2211,Leche cruda,22230,Yogur ,l,Litros,30.54
