pais_id,pais,año,mes,ccp,producto,uni_med_id,uni_med,cantidad_por_millon
32,Argentina,1983,1,2211,Leche cruda,l,Litros,546.5
32,Argentina,1983,2,2211,Leche cruda,l,Litros,485.35
32,Argentina,1983,3,2211,Leche cruda,l,Litros,486.4
32,Argentina,1983,4,2211,Leche cruda,l,Litros,424.5
32,Argentina,1983,5,2211,Leche cruda,l,Litros,402.5
32,Argentina,1983,6,2211,Leche cruda,l,Litros,380.95
32,Argentina,1983,7,2211,Leche cruda,l,Litros,396.85
32,Argentina,1983,8,2211,Leche cruda,l,Litros,414.3
32,Argentina,1983,9,2211,Leche cruda,l,Litros,483.4
32,Argentina,1983,10,2211,Leche cruda,l,Litros,542.95
32,Argentina,1983,11,2211,Leche cruda,l,Litros,583.05
32,Argentina,1983,12,2211,Leche cruda,l,Litros,550.05
32,Argentina,1984,1,2211,Leche cruda,l,Litros,519.6
32,Argentina,1984,2,2211,Leche cruda,l,Litros,442.9
32,Argentina,1984,3,2211,Leche cruda,l,Litros,450.85
32,Argentina,1984,4,2211,Leche cruda,l,Litros,421.05
32,Argentina,1984,5,2211,Leche cruda,l,Litros,386.8
32,Argentina,1984,6,2211,Leche cruda,l,Litros,367.3
32,Argentina,1984,7,2211,Leche cruda,l,Litros,358.15
32,Argentina,1984,8,2211,Leche cruda,l,Litros,377.5
32,Argentina,1984,9,2211,Leche cruda,l,Litros,407.15
32,Argentina,1984,10,2211,Leche cruda,l,Litros,526.3
32,Argentina,1984,11,2211,Leche cruda,l,Litros,540.95
32,Argentina,1984,12,2211,Leche cruda,l,Litros,542.25
32,Argentina,1985,1,2211,Leche cruda,l,Litros,524.42
32,Argentina,1985,2,2211,Leche cruda,l,Litros,474.79
32,Argentina,1985,3,2211,Leche cruda,l,Litros,499.52
32,Argentina,1985,4,2211,Leche cruda,l,Litros,414.6
32,Argentina,1985,5,2211,Leche cruda,l,Litros,414.37
32,Argentina,1985,6,2211,Leche cruda,l,Litros,426.11
32,Argentina,1985,7,2211,Leche cruda,l,Litros,432.2
32,Argentina,1985,8,2211,Leche cruda,l,Litros,451.23
32,Argentina,1985,9,2211,Leche cruda,l,Litros,502.79
32,Argentina,1985,10,2211,Leche cruda,l,Litros,672.25
32,Argentina,1985,11,2211,Leche cruda,l,Litros,593.59
32,Argentina,1985,12,2211,Leche cruda,l,Litros,556.01
32,Argentina,1986,1,2211,Leche cruda,l,Litros,492.91
32,Argentina,1986,2,2211,Leche cruda,l,Litros,431.97
32,Argentina,1986,3,2211,Leche cruda,l,Litros,447.24
32,Argentina,1986,4,2211,Leche cruda,l,Litros,393.95
32,Argentina,1986,5,2211,Leche cruda,l,Litros,406.37
32,Argentina,1986,6,2211,Leche cruda,l,Litros,401.04
32,Argentina,1986,7,2211,Leche cruda,l,Litros,437.84
32,Argentina,1986,8,2211,Leche cruda,l,Litros,473.55
32,Argentina,1986,9,2211,Leche cruda,l,Litros,512.99
32,Argentina,1986,10,2211,Leche cruda,l,Litros,574.06
32,Argentina,1986,11,2211,Leche cruda,l,Litros,565.6
32,Argentina,1986,12,2211,Leche cruda,l,Litros,583.44
32,Argentina,1987,1,2211,Leche cruda,l,Litros,538.15
32,Argentina,1987,2,2211,Leche cruda,l,Litros,487.35
32,Argentina,1987,3,2211,Leche cruda,l,Litros,489.05
32,Argentina,1987,4,2211,Leche cruda,l,Litros,434.7
32,Argentina,1987,5,2211,Leche cruda,l,Litros,441.85
32,Argentina,1987,6,2211,Leche cruda,l,Litros,454.05
32,Argentina,1987,7,2211,Leche cruda,l,Litros,463.3
32,Argentina,1987,8,2211,Leche cruda,l,Litros,506.05
32,Argentina,1987,9,2211,Leche cruda,l,Litros,538.6
32,Argentina,1987,10,2211,Leche cruda,l,Litros,614.55
32,Argentina,1987,11,2211,Leche cruda,l,Litros,601.9
32,Argentina,1987,12,2211,Leche cruda,l,Litros,620.3
32,Argentina,1988,1,2211,Leche cruda,l,Litros,558.35
32,Argentina,1988,2,2211,Leche cruda,l,Litros,508.45
32,Argentina,1988,3,2211,Leche cruda,l,Litros,489.35
32,Argentina,1988,4,2211,Leche cruda,l,Litros,465.5
32,Argentina,1988,5,2211,Leche cruda,l,Litros,467.85
32,Argentina,1988,6,2211,Leche cruda,l,Litros,414.95
32,Argentina,1988,7,2211,Leche cruda,l,Litros,408.85
32,Argentina,1988,8,2211,Leche cruda,l,Litros,463.55
32,Argentina,1988,9,2211,Leche cruda,l,Litros,501.5
32,Argentina,1988,10,2211,Leche cruda,l,Litros,579.35
32,Argentina,1988,11,2211,Leche cruda,l,Litros,579.2
32,Argentina,1988,12,2211,Leche cruda,l,Litros,624.1
32,Argentina,1989,1,2211,Leche cruda,l,Litros,537.3
32,Argentina,1989,2,2211,Leche cruda,l,Litros,460.85
32,Argentina,1989,3,2211,Leche cruda,l,Litros,535.4
32,Argentina,1989,4,2211,Leche cruda,l,Litros,499.05
32,Argentina,1989,5,2211,Leche cruda,l,Litros,511.55
32,Argentina,1989,6,2211,Leche cruda,l,Litros,478.15
32,Argentina,1989,7,2211,Leche cruda,l,Litros,494.1
32,Argentina,1989,8,2211,Leche cruda,l,Litros,523.1
32,Argentina,1989,9,2211,Leche cruda,l,Litros,575.95
32,Argentina,1989,10,2211,Leche cruda,l,Litros,648.1
32,Argentina,1989,11,2211,Leche cruda,l,Litros,631.15
32,Argentina,1989,12,2211,Leche cruda,l,Litros,625.3
32,Argentina,1990,1,2211,Leche cruda,l,Litros,592.83
32,Argentina,1990,2,2211,Leche cruda,l,Litros,488.8
32,Argentina,1990,3,2211,Leche cruda,l,Litros,520.82
32,Argentina,1990,4,2211,Leche cruda,l,Litros,437.71
32,Argentina,1990,5,2211,Leche cruda,l,Litros,445.77
32,Argentina,1990,6,2211,Leche cruda,l,Litros,416.29
32,Argentina,1990,7,2211,Leche cruda,l,Litros,433.23
32,Argentina,1990,8,2211,Leche cruda,l,Litros,484.94
32,Argentina,1990,9,2211,Leche cruda,l,Litros,509.28
32,Argentina,1990,10,2211,Leche cruda,l,Litros,569.76
32,Argentina,1990,11,2211,Leche cruda,l,Litros,584.15
32,Argentina,1990,12,2211,Leche cruda,l,Litros,609.59
32,Argentina,1991,1,2211,Leche cruda,l,Litros,586.65
32,Argentina,1991,2,2211,Leche cruda,l,Litros,490.45
32,Argentina,1991,3,2211,Leche cruda,l,Litros,475.43
32,Argentina,1991,4,2211,Leche cruda,l,Litros,430.81
32,Argentina,1991,5,2211,Leche cruda,l,Litros,409.52
32,Argentina,1991,6,2211,Leche cruda,l,Litros,376.09
32,Argentina,1991,7,2211,Leche cruda,l,Litros,472.56
32,Argentina,1991,8,2211,Leche cruda,l,Litros,427.35
32,Argentina,1991,9,2211,Leche cruda,l,Litros,515.78
32,Argentina,1991,10,2211,Leche cruda,l,Litros,585.17
32,Argentina,1991,11,2211,Leche cruda,l,Litros,587.78
32,Argentina,1991,12,2211,Leche cruda,l,Litros,579.33
32,Argentina,1992,1,2211,Leche cruda,l,Litros,652.58
32,Argentina,1992,2,2211,Leche cruda,l,Litros,516.9
32,Argentina,1992,3,2211,Leche cruda,l,Litros,502.34
32,Argentina,1992,4,2211,Leche cruda,l,Litros,430
32,Argentina,1992,5,2211,Leche cruda,l,Litros,472.13
32,Argentina,1992,6,2211,Leche cruda,l,Litros,488.52
32,Argentina,1992,7,2211,Leche cruda,l,Litros,497.96
32,Argentina,1992,8,2211,Leche cruda,l,Litros,516.76
32,Argentina,1992,9,2211,Leche cruda,l,Litros,570.9
32,Argentina,1992,10,2211,Leche cruda,l,Litros,656.14
32,Argentina,1992,11,2211,Leche cruda,l,Litros,591.21
32,Argentina,1992,12,2211,Leche cruda,l,Litros,695.12
32,Argentina,1993,1,2211,Leche cruda,l,Litros,635.05
32,Argentina,1993,2,2211,Leche cruda,l,Litros,525.55
32,Argentina,1993,3,2211,Leche cruda,l,Litros,537.1
